,FLTNUM,FLTDAT,BCLS,TARIF_RUB
0,0,2018-01-04,J,15139.091
1,0,2018-01-09,J,17385.0
2,0,2018-01-11,J,16470.0
3,0,2018-01-13,J,14640.0
4,0,2018-01-15,J,17385.0
5,0,2018-01-21,J,14640.0
6,0,2018-01-25,J,14640.0
7,0,2018-01-27,J,14640.0
8,0,2018-02-01,J,14640.0
9,0,2018-02-02,J,15250.0
10,0,2018-02-15,J,16470.0
11,0,2018-02-28,J,15250.0
12,0,2018-03-02,J,14640.0
13,0,2018-03-02,Y,8900.0
14,0,2018-03-09,J,16470.0
15,0,2018-03-11,J,14640.0
16,0,2018-03-13,J,14640.0
17,0,2018-03-14,Y,6745.0
18,0,2018-03-23,J,14640.0
19,0,2018-03-28,Y,6745.0
20,0,2018-05-03,Y,6745.0
21,0,2018-05-15,Y,8900.0
22,0,2018-05-18,Y,6745.0
23,0,2018-05-27,J,17385.0
24,0,2018-05-28,J,14983.125
25,0,2018-05-29,J,17385.0
26,0,2018-05-30,J,14640.0
27,0,2018-06-30,J,23500.0
28,0,2018-06-30,Y,7950.0
29,0,2018-07-13,J,23500.0
30,0,2018-07-16,Y,7950.0
31,0,2018-07-21,J,14640.0
32,0,2018-07-22,J,14640.0
33,0,2018-07-23,J,23500.0
34,0,2018-07-24,J,14640.0
35,0,2018-07-26,J,14640.0
36,0,2018-07-28,Y,6745.0
37,0,2018-07-31,J,14640.0
38,0,2018-07-31,Y,7950.0
39,0,2018-08-02,J,23500.0
40,0,2018-08-07,J,23500.0
41,0,2018-08-08,J,22000.0
42,0,2018-08-09,Y,8090.0
43,0,2018-08-18,J,23500.0
44,0,2018-08-27,Y,7000.0
45,0,2018-08-31,J,23500.0
46,0,2018-09-01,J,23500.0
47,0,2018-09-05,Y,6000.0
48,0,2018-09-09,Y,6000.0
49,0,2018-09-25,Y,6000.0
50,0,2018-09-27,J,23500.0
51,0,2018-09-27,Y,7950.0
52,0,2018-10-04,Y,6243.75
53,0,2018-10-05,J,14640.0
54,0,2018-10-05,Y,6000.0
55,0,2018-10-06,Y,6000.0
56,0,2018-10-09,J,14640.0
57,0,2018-10-13,Y,7950.0
58,0,2018-10-17,Y,6000.0
59,0,2018-10-19,J,23500.0
60,0,2018-10-22,Y,6000.0
61,0,2018-10-28,J,23500.0
62,0,2018-11-09,J,22000.0
63,0,2018-11-13,J,22000.0
64,0,2018-11-20,J,17500.0
65,0,2018-11-24,J,14640.0
66,0,2018-11-30,J,23500.0
67,0,2018-11-30,Y,6000.0
68,0,2018-12-04,J,17500.0
69,0,2018-12-05,J,17500.0
70,0,2018-12-15,J,14640.0
71,0,2019-01-03,J,17500.0
72,0,2019-01-04,J,17500.0
73,0,2019-01-10,J,17500.0
74,0,2019-01-13,Y,6000.0
75,0,2019-01-17,J,23500.0
76,0,2019-01-19,J,17500.0
